1,-6.081.689,145.391.881
1,-5.207.083,1.457.887
1,-5.826.789,144.295.861
1,-6.569.828,146.726.242
1,-9.443.383,14.722.005
1,-3.583.828,143.669.186
1,61.160.517,-45.425.978
1,64.190.922,-51.678.064
1,67.016.969,-50.689.325
1,76.531.203,-68.703.161
1,65.659.994,-18.072.703
1,65.283.333,-14.401.389
1,64.295.556,-15.227.222
1,65.952.328,-17.425.978
1,66.058.056,-23.135.278
1,63.985,-22.605.556
1,65.555.833,-23.965
1,64.13,-21.940.556
1,66.133.333,-18.916.667
1,63.424.303,-20.278.875
1,46.485.001,-84.509.445
1,50.056.389,-970.325
1,44.639.721,-63.499.444
1,51.391.944,-56.083.056
1,49.082.222,-1.257.725
1,68.534.444,-89.808.056
1,491.325,-68.204.444
1,48.330.555,-70.996.391
1,64.298.889,-96.077.778
1,49.950.832,-125.270.833
1,49.91,-99.951.944
1,69.108.055,-105.138.333
1,49.052.333,-123.870.167
1,49.296.389,-1.176.325
1,47.007.778,-65.449.167
1,47.990.833,-66.330.278
1,67.816.667,-115.143.889
1,52.075.001,-111.445.278
1,49.152.779,-12.193.889
1,70.486.111,-68.516.667
1,64.193.333,-83.359.444
1,64.043.056,-139.127.778
1,61.371.111,-139.040.556
1,49.468.056,-120.511.389
1,49.210.833,-57.391.388
1,58.422.222,-130.032.222
1,51.100.834,-1.000.525
1,55.742.333,-120.183
1,53.309.723,-113.579.722
1,61.094.166,-94.070.833
1,49.210.278,-102.965.833
1,53.578.888,-116.465
1,79.994.722,-85.814.167
1,68.304.167,-133.482.778
1,6.375.639,-68.555.832
1,45.868.889,-66.537.222
1,48.746.111,-69.097.222
1,54.678.055,-101.681.667
1,61.180.832,-113.689.722
1,61.760.153,-121.236.525
1,44.225.277,-76.596.944
1,53.625.278,-77.704.167
1,48.775.278,-64.478.611
1,49.778.332,-86.939.445
1,47.424.721,-61.778.056
1,52.816.666,-10.231.139
1,49.831.667,-92.744.167
1,70.762.778,-117.806.111
1,68.635.556,-95.849.722
1,43.173.611,-79.935
1,455.175,-73.416.944
1,60.839.722,-115.782.778
1,44.880.833,-6.350.861
1,48.773.888,-91.638.611
1,72.683.334,-77.966.667
1,45.294.445,-73.281.111
1,48.544.167,-58.549.999
1,50.702.222,-120.444.444
1,43.460.833,-80.378.611
1,54.805.278,-66.805.278
1,515.175,-109.180.833
1,43.862.221,-79.37
1,47.82,-83.346.667
1,54.125.278,-108.522.778
1,53.309.166,-1.100.725
1,82.517.778,-62.280.556
1,49.956.112,-119.377.778
1,63.616.389,-135.868.333
1,50.330.278,-105.559.167
1,56.653.333,-111.221.944
1,51.291.111,-80.607.778
1,46.272.778,-75.990.556
1,45.681.944,-74.005.278
1,50.19,-61.789.167
1,45.521.694,-75.563.589
1,49.761.667,-77.802.778
1,67.570.556,-139.839.167
1,54.404.999,-110.279.444
1,58.621.389,-117.164.722
1,453.225,-75.669.167
1,53.214.167,-105.672.778
1,56.226.944,-117.447.222
1,49.903.056,-98.273.889
1,4.921.611,-122.71
1,51.446.388,-90.214.167
1,49.836.389,-64.288.611
1,44.23,-78.363.333
1,5.428.611,-130.444.722
1,58.767.223,-111.117.222
1,44.974.722,-79.303.333
1,46.791.111,-71.393.333
1,52.182.222,-113.894.444
1,42.275.556,-82.955.556
1,60.116.389,-1.288.225
1,49.788.334,-94.363.056
1,49.630.278,-112.799.722
1,46.112.221,-64.678.611
1,49.710.833,-124.886.667
1,50.431.944,-104.665.833
1,48.371.944,-89.323.889
1,55.179.722,-118.885
1,51.264.721,-102.461.667
1,52.769.167,-10.824.361
1,48.936.944,-54.568.056
1,46.161.388,-60.047.779
1,53.026.112,-122.510.278
1,74.716.944,-94.969.444
1,47.764.444,-69.584.722
1,48.52,-72.265.556
1,52.429.722,-114.904.167
1,6.281.139,-92.115.833
1,46.625,-80.798.889
1,45.438.611,-71.691.389
1,45.316.111,-65.890.278
1,60.020.278,-111.961.944
1,72.982.222,-84.613.611
1,46.440.556,-63.833.611
1,71.993.889,-1.252.425
1,64.23,-76.526.667
1,55.801.111,-97.864.166
1,44.118.889,-77.528.056
1,48.569.721,-81.376.667
1,43.627.499,-79.396.167
1,69.433.334,-133.026.389
1,45.470.556,-73.740.833
1,66.521.389,-86.224.722
1,68.776.111,-81.243.611
1,48.206.111,-78.835.556
1,5.515.139,-105.261.944
1,53.355.833,-11.082.389
1,67.545.833,-64.031.389
1,48.053.333,-77.782.778
1,58.096.111,-68.426.944
1,65.281.617,-126.798.219
1,49.193.889,-123.184.444
1,55.841.944,-1.084.175
1,44.745.834,-81.107.222
1,45.952.221,-77.319.168
1,49.910.036,-97.239.886
1,52.921.944,-66.864.444
1,52.183.056,-122.054.167
1,63.209.444,-123.436.667
1,49.612.222,-115.781.944
1,535.725,-113.520.556
1,52.170.834,-106.699.722
1,5.001.889,-110.720.833
1,56.238.056,-120.740.278
1,50.113.889,-91.905.278
1,66.145,-65.713.611
1,47.695,-79.848.889
1,53.889.444,-122.678.889
1,54.468.508,-128.576.219
1,43.033.056,-81.151.111
1,49.025.278,-122.360.556
1,60.709.553,-135.067.269
1,46.363.611,-79.422.778
1,51.113.888,-114.020.278
1,54.824.722,-127.182.778
1,58.836.389,-122.596.944
1,49.463.056,-119.602.222
1,46.290.001,-63.121.111
1,69.546.667,-93.576.667
1,48.646.944,-123.425.833
1,56.863.888,-10.107.611
1,50.291.944,-107.690.556
1,58.739.167,-94.065
1,53.319.168,-60.425.833
1,4.761.861,-52.751.945
1,49.413.889,-824.675
1,50.290.279,-88.909.721
1,48.608.612,-68.208.056
1,43.677.223,-79.630.556
1,437.425,-79.465.556
1,45.885.277,-82.567.778
1,62.462.778,-114.440.278
1,55.293.056,-114.777.222
1,53.254.333,-131.813.833
1,42.999.444,-82.308.889
1,50.680.556,-127.366.667
1,5.414.389,-115.786.667
1,50.223.333,-66.265.556
1,60.172.779,-132.742.778
1,44.984.444,-64.916.944
1,622.075,-133.375.833
1,674.075,-134.860.556
1,36.503.613,2.814.167
1,353.325,4.206.389
1,36.711.997,5.069.922
1,36.691.014,3.215.408
1,24.292.767,9.452.444
1,36.545.834,2.876.111
1,26.710.103,0.285647
1,26.723.536,8.622.653
1,35.525.414,2.878.714
1,22.811.461,5.451.075
1,36.795.136,5.873.608
1,33.535.853,-0.242353
1,35.752.239,0.626272
1,36.822.225,7.809.167
1,36.276.028,6.620.386
1,35.431.611,8.120.717
1,32.930.431,3.311.542
1,35.341.136,1.463.147
1,35.735.389,-0.805389
1,27.700.372,-8.167.103
1,36.212.658,1.331.775
1,35.542.444,-0.532278
1,35.016.667,-1.45
1,35.623.858,-0.621183
1,35.171.775,-0.593275
1,35.207.725,0.147142
1,27.837.589,-0.186414
1,34.793.289,5.738.231
1,30.571.294,2.859.586
1,32.384.106,3.794.114
1,31.672.972,6.140.444
1,27.251.022,2.512.017
1,33.067.803,6.088.672
1,33.764.383,2.928.344
1,29.237.119,0.276033
1,31.917.223,5.412.778
1,2.805.155,9.642.911
1,6.357.228,2.384.353
1,12.353.194,-1.512.417
1,11.160.056,-4.330.969
1,5.605.186,-0.166786
1,9.557.192,-0.863214
1,10.082.664,-2.507.694
1,7.361.828,-2.328.756
1,4.896.056,-1.774.756
1,5.261.386,-3.926.294
1,77.388,-5.073.667
1,6.792.808,-6.473.189
1,9.387.183,-5.556.664
1,7.272.069,-7.587.364
1,4.746.717,-6.660.817
1,6.903.167,-5.365.581
1,9.006.792,7.263.172
1,7.246.739,5.301.008
1,6.316.981,5.599.503
1,4.976.019,8.347.197
1,6.474.272,7.561.961
1,12.171.667,6.696.111
1,7.362.458,3.978.333
1,8.440.211,4.493.919
1,9.639.828,886.905
1,10.696.025,7.320.114
1,12.047.589,8.524.622
1,11.855.347,1.308.095
1,7.703.883,8.613.939
1,6.577.369,3.321.156
1,9.652.172,6.462.256
1,5.015.494,6.949.594
1,12.916.322,5.207.189
1,9.257.553,12.430.422
1,11.130.192,7.685.806
1,13.502.531,7.126.753
1,13.481.547,2.183.614
1,14.875.658,5.265.358
1,16.965.997,8.000.114
1,18.968.703,1.286.865
1,13.372.894,12.626.686
1,13.778.997,8.983.761
1,35.758.056,10.754.722
1,36.851.033,10.227.217
1,37.245.447,9.791.453
1,32.306.156,10.382.108
1,34.422.022,8.822.503
1,33.876.919,10.103.333
1,36.721.339,9.943.147
1,33.875.031,10.775.461
1,31.704.281,9.254.619
1,34.717.953,10.690.972
1,33.939.722,8.110.556
1,9.767.333,109.125
1,6.165.611,1.254.511
1,51.189.444,4.460.278
1,5.075.861,4.768.333
1,51.168.333,Mai.47
1,50.901.389,4.484.444
1,49.891.667,5.223.889
1,50.459.197,4.453.817
1,50.575.833,3.831
1,51.090.278,2.652.778
1,50.243.333,4.645.833
1,50.817.222,3.204.722
1,50.637.417,5.443.222
1,51.198.889,2.862.222
1,509.475,5.590.556
1,50.791.944,5.201.667
1,50.035.833,5.404.167
1,51.144.133,3.474.361
1,51.394.783,4.960.194
1,51.264.722,4.753.333
1,51.193.531,14.519.747
1,50.981.817,12.506.361
1,51.831.828,12.184.033
1,52.197.333,14.585.667
1,396.335.556,-868.138.056
1,51.308.111,13.554.973
1,51.363,11.940.833
1,51.552,12.052.667
1,512.935,13.356
1,53.306.417,12.753.139
1,52.579.978,13.915.683
1,52.203.258,13.158.408
1,5.433.754,12.699.705
1,50.915.161,11.714.519
1,52.918.833,12.425.333
1,52.073.658,11.626.467
1,51.363.167,14.95
1,538.327,13.669.131
1,51.889.475,14.531.986
1,5.129.625,14.129
1,52.380.001,135.225
1,51.132.767,13.767.161
1,50.979.811,10.958.106
1,50.026.421,8.543.125
1,52.134.642,7.684.831
1,53.630.389,9.988.228
1,52.473.025,13.403.944
1,50.865.917,7.142.744
1,51.289.453,6.766.775
1,48.353.783,11.786.086
1,494.987,11.066.897
1,51.432.447,12.241.633
1,49.214.553,7.109.508
1,48.689.878,9.221.964
1,52.559.686,13.287.711
1,52.461.056,9.685.078
1,530.475,8.786.667
1,49.960.833,86.415
1,49.948.672,7.263.892
1,49.472.706,8.514.264
1,51.034.878,8.680.839
1,49.606.511,83.684
1,49.968.931,8.148.336
1,50.992.797,10.472.711
1,50.707.658,8.082.969
1,53.535.886,9.837.025
1,543.795,10.145.167
1,53.805.367,10.719.222
1,50.405.888,6.528.083
1,51.099.445,7.601.944
1,51.483.333,7.899.333
1,51.402.333,6.937.333
1,51.964.833,8.544.833
1,51.230.356,6.504.494
1,51.614.089,8.616.317
1,51.995.844,6.840.667
1,51.518.314,7.612.242
1,48.425.158,10.931.764
1,48.111,9.762.833
1,48.396.167,12.723.667
1,48.108.833,10.524.333
1,48.081.364,11.283.067
1,4.890.095,12.518.186
1,48.635.167,13.195.667
1,47.859.117,10.014.572
1,47.671.317,9.511.486
1,53.426.997,11.783.436
1,52.627.778,11.818.333
1,48.777.833,10.264.667
1,49.984.428,11.638.569
1,49.793.833,11.133.167
1,50.288.836,11.854.919
1,50.018,105.295
1,503.255,7.528.667
1,498.635,6.788.167
1,49.302.776,8.451.195
1,49.209.525,7.400.647
1,47.973.331,8.522.223
1,48.022.653,7.832.583
1,48.053.833,9.372.833
1,49.118.317,9.783.956
1,516.075,13.738
1,52.319.167,10.556.111
1,51.408.394,9.377.631
1,52.179.833,9.945.667
1,53.507.081,8.572.878
1,53.391.186,7.227.408
1,53.271.592,7.442.344
1,53.504.833,8.053.333
1,535.955,6.709.167
1,53.706.822,7.230.247
1,54.771.772,9.378.214
1,54.220.928,9.600.803
1,5.491.325,8.340.472
1,59.260.286,24.208.467
1,58.990.756,22.830.733
1,58.229.883,22.509.494
1,58.419.044,24.472.819
1,59.413.317,24.832.844
1,58.307.461,26.690.428
1,68.362.586,23.424.322
1,61.116.112,22.201.389
1,6.185.605,247.866
1,60.254.558,25.042.828
1,60.317.222,24.963.333
1,61.689.656,23.073.744
1,59.848.864,23.083.583
1,60.654.444,24.881.111
1,60.462.502,236.525
1,61.249.172,28.903.711
1,62.166.111,30.073.611
1,68.607.269,27.405.328
1,62.662.906,2.960.755
1,62.399.453,25.678.253
1,63.127.078,23.051.442
1,65.781.889,245.991
1,64.285.472,27.692.414
1,62.462.502,22.393.055
1,63.721.172,23.143.131
1,66.712.883,27.156.786
1,65.987.575,29.239.381
1,67.701.022,2.484.685
1,6.300.715,27.797.756
1,61.144.158,25.693.508
1,61.044.553,28.144.397
1,60.122.203,19.898.156
1,62.946.667,23.518.889
1,616.866,27.201.794
1,60.333.889,24.296.389
1,64.930.061,25.354.564
1,61.245.558,22.193.356
1,61.461.686,21.799.983
1,65.402.222,26.946.944
1,63.731.917,25.926.306
1,64.688.056,24.695.833
1,62.065.481,28.356.494
1,66.564.822,25.830.411
1,60.744.722,24.107.778
1,61.943.064,28.945.136
1,61.062.389,26.798.861
1,67.395.033,26.619.133
1,61.414.147,23.604.392
1,6.177.335,24.027.006
1,60.514.142,22.262.808
1,60.896.394,26.938.353
1,6.305.065,21.762.175
1,62.171.111,27.868.611
1,64.060.547,24.715.953
1,546.575,-6.215.833
1,54.398.889,-7.651.667
1,54.618.056,-58.725
1,55.042.778,-7.161.111
1,52.453.856,-1.748.028
